Cycle_Index,Temperature,Discharge_Time(s),Decrement_3.6-3.4V(s),Max_Voltage_Discharge(V),Min_Voltage_Charger(V),RUL
1127,52.834458926134104,1843.391771059881,818.4945449473054,4.087561430859132,3.418249245309017,232.0561247529361
861,48.738290833462145,3261.981117146978,230.19386115369633,4.012066440314305,3.0251072158452277,522.9264155915653
1131,41.40146928179642,3166.2094858438645,433.28476171902395,3.9151466833237225,3.2323065844044856,261.2574276979631
1096,39.06477936505648,2948.1629585377564,416.4094654588801,4.088245971535284,3.189808382225835,335.836118053657
1045,53.54330234810499,2087.972609894149,436.21478456404895,4.015684053859695,3.1582933799543254,309.450092552343
122,28.203102405978363,2877.9486917619406,567.8173322421758,4.180880141823966,3.1428497970223823,1336.7958357613568
467,58.71976266016937,3103.4817324314813,433.3745114318017,4.06259702246693,3.0456870524302047,850.9796781610223
331,48.438099153469935,2864.728375928725,413.7719643637629,4.181895453388052,3.1574129146758243,1049.2245990736
88,27.98027709353279,2388.7714279306474,437.37380997950925,3.9661451080419914,3.021526201357834,1384.9527708333792
1124,49.44988734793952,368.9351681174399,539.9633483185165,4.117717773109231,3.3904819318222175,205.50828515929405
872,41.19360092724467,3059.1900261954097,492.5665897491954,4.085174706254618,3.199113896979006,568.559746155954
131,48.289203825777776,1091.6886101707823,771.6396779324438,4.121822468949394,3.2219519161599557,1249.712183369318
770,50.71118005771355,3320.1070540517912,63.557231074426625,3.964400359191761,3.4467972932250657,555.9650955267014
344,23.491607183587018,3868.91834123747,753.319022896251,4.099498354871332,3.3290274919306104,1206.2412228756527
806,40.24415825437388,2652.092952914485,762.6536590983171,4.04941211791706,3.00402955167106,642.6070553543943
386,57.280573690277365,2849.10922540477,270.71905894724557,4.122847492471895,3.4715874114806424,945.6174905272464
956,32.825687686380576,4771.949230430158,427.3097204139486,3.9981133932455455,3.1185722329888557,488.02161174076315
277,43.75532390231595,4281.686598451099,405.91386991294326,4.167017107639576,3.0538070923799294,1137.2872047036306
1185,34.76921926039584,4596.911624971909,212.28865423163467,3.925290394383405,3.384064089190441,270.2004399957036
460,38.170718888763986,4124.701555102056,369.1812254359585,4.142156795637357,3.250238657933359,984.9882040521875
22,41.94412471752613,811.9162066796378,59.0612395103519,4.158395887744527,3.2168852830090087,1376.4869709472684
253,41.95687919555909,1000.2617230599151,264.4834240479263,4.145175693410047,3.124751539841371,1184.1710444416374
748,28.069218493209434,2775.1318471641102,738.680314396632,4.053817918278533,3.2737357449311593,727.1846650704418
857,47.38286191519333,1456.5273963505917,270.41482555134985,4.031515494009229,3.1371923026012936,544.7010053971447
475,23.51472444970627,2540.468732693448,740.0218684984578,4.198878685957463,3.4507915026435336,1016.4875925423281
1083,25.552990937680814,2153.517021946246,487.8075288518992,3.9687515853642488,3.1076022398665963,467.19792502666564
511,20.108435976573187,2882.246920623131,794.2791560778207,4.064062789762813,3.442177575227877,1027.3682870964392
700,24.667842565667254,3810.315865838367,525.8060077526853,4.101202657614698,3.2797027128636786,859.3454327031367
976,38.92664804207569,3662.8072633665897,46.10803629697104,4.11026029075843,3.4142440669476204,470.91879931614244
190,44.24407524223355,2749.8004226810713,614.3697826414385,3.9612073997215735,3.3564229979304776,1202.5503366514586
958,51.7715779986585,4165.249068440173,59.47113986074042,4.09619822770194,3.3483475557183744,424.7297258784914
687,24.267970004537442,2325.0518302287564,416.5253767051579,4.145510869944402,3.162172903847528,834.6717063411771
958,54.029098400658185,4514.557162248575,837.8954911363403,3.915005573046334,3.116948465736102,404.32099088666433
563,49.838981021948726,635.0172692592704,165.37946661730814,4.173456387997595,3.105443113840394,825.4129443308974
832,36.340731717436675,4786.902141156545,363.0876705885588,3.9088512165435616,3.428595828529794,626.5308840009702
1155,57.317522683998185,3377.0574827273363,662.277071786661,4.006791309746518,3.41021341012951,163.53876636469425
