Cycle_Index,Discharge_Time(s),Decrement_3.6-3.4V(s),Max_Voltage_Discharge(V),Min_Voltage_Charger(V),RUL
1,2623.2524516199774,123.05308562179488,4.119081197683559,2.9494744652547915,1457.1551565975
2,4812.714364357682,116.66910042075696,4.168672558876549,2.8852808914114787,1516.936296628499
3,3981.57697888334,44.102730529029714,3.950187159517,2.716138394469647,1508.6378945735794
4,3474.902239948739,94.599652420185,4.0999496398428,2.504848268342283,1534.3135852443306
5,1792.8708336812588,100.83129900573712,4.0786983932575,2.8721794164256105,1463.3647283322173
6,1792.77917727757,103.81164494350408,4.183132150715308,2.7142194914216824,1495.360323849126
7,1420.717726239158,132.82757907637318,4.2124348241925045,3.050956225532901,1438.3991281829346
8,4491.4693539447535,125.37640747630056,3.8548627085909546,2.5179596989528625,1520.0597912769886
9,3484.237044624193,137.26481484695114,4.1196079676235176,2.938620858479343,1511.754847217605
10,3890.675795624973,162.38132184674052,3.870734319647892,3.206105678129549,1509.8322008411028
11,1278.2210783240494,170.07771819457497,4.069543466030942,2.6308069503336244,1489.0647612542778
12,4885.657438215579,154.8996921962391,3.965053091617472,2.8537371180629467,1504.5909156315515
13,4363.282035041602,192.8837913527896,3.9727106398088567,2.5685664938628534,1551.173564332344
14,2006.8886205774493,42.91721322821786,3.991183401380943,2.969261434196014,1474.5962297183194
15,1890.9348753869824,71.32447770936737,4.098516979619844,2.912898760447169,1490.5458073484033
16,1896.9371374430484,41.210059996502736,3.983619986267508,2.8055241431596243,1440.5549480327436
17,2356.1205232462435,143.59595426473646,4.143079620236112,2.891032766105306,1448.2695615360667
18,3194.074440202504,183.6848878319979,4.011810954229548,3.1724309938517576,1485.9125317237324
19,2841.39107084004,78.95716745220788,3.877341280123984,2.6472207267333,1525.1573418680764
20,2306.670732752559,188.32552716740904,4.163503936993643,2.5169233837790106,1469.7487670299372
21,3525.040999945042,49.64278244632973,3.964303329837082,3.1462486635243256,1469.563338827515
22,1730.0766704777589,189.50976428888228,4.0231067518397055,2.9328378117909297,1461.724590219825
23,2310.149664433829,96.2596299583415,4.124177553288761,3.167993841596382,1455.609733166227
24,2592.1750045160284,56.22733255187464,3.9829824628594848,2.947708917559879,1487.7988582283529
25,2933.065940024737,117.7394814698121,3.872634262458688,3.107620817469777,1415.1096941928542
26,4183.668653293452,81.08425083528127,3.9995684188051257,2.822255022516361,1525.237583066669
27,1958.760372201767,85.57966431390766,4.227779433077721,3.062394948466202,1446.3831080748216
28,3154.0908659717243,89.16639438820584,4.106693758919423,3.184781100167392,1500.8761394175256
29,3451.175361675761,168.48414365322614,4.118591659466883,2.9290922227916547,1420.200056104245
30,1376.5115683359911,126.26580426804072,4.102912861455056,2.6355888629217845,1496.7536052218488
31,3508.670437225466,89.80923186496058,3.929596855583775,2.7015982112726484,1495.87778431258
32,1847.991670011708,137.65340532974693,4.017333545640912,2.648983432673054,1483.3680828802358
33,1447.1960533440622,154.58410787571097,4.150375919345327,2.6851427706968,1427.2228591280084
34,4805.765041562667,83.6198401173654,3.890549159021264,2.7298115870132773,1475.9819275839232
35,4869.401725683325,106.16785624405624,3.961141110435885,2.916350340064892,1417.6777526106243
36,4271.909922842553,59.501774933911605,3.960527643386341,2.9409937220978746,1453.8894697961523
37,2357.5323228588086,68.98389592554885,4.022807571037802,2.819874810431396,1504.176524038213
38,1571.154033224259,148.97885663439723,4.242147496376874,2.9615655848656264,1493.8680770828296
39,3800.085500746196,69.03013563130031,3.877001018673529,2.5611811942085243,1461.6073177016174
40,2872.579476210485,124.02614138672962,4.057480397752238,2.56584117779362,1421.0077369630862
41,1663.7452924101594,153.44740187558924,3.921745872804885,2.628872095268244,1484.8235084869675
42,3081.6722584228264,57.10030769515902,4.238270618163898,2.888558123530258,1458.775249507921
43,1330.67638023783,130.76995514062455,3.895321401890986,2.660496009023736,1364.187376070783
44,4655.417527899372,81.05004539221821,4.011440400944637,2.712463302619433,1487.3051930526608
45,2183.363930080064,194.0683000380128,4.145153993933842,2.8002346271297456,1454.0306866452124
46,3717.584680545132,117.36730347518797,4.131821771210978,3.1088995930077847,1502.0980499193229
47,2384.5020891397617,168.9588079640253,4.019091454757573,2.5103966019346453,1409.1891792462875
48,3176.258480475681,128.03624674500188,3.988609667181088,2.987034115177466,1324.93184747216
49,3277.4990615044626,46.946005256771066,4.009044951421148,3.001657398280514,1462.163354333807
50,1902.4469309970027,141.30422009504358,3.955710505263456,3.098991835267477,1461.6625470672789
51,4884.421585505323,192.22453475306511,3.93213317548272,3.199564704295235,1381.373134895742
52,4145.504728772236,136.257891223413,4.043215879023556,2.515103386711967,1408.8600181653358
53,4770.095977943918,171.07021750828642,3.957413502427043,2.615337779134912,1557.208709748796
54,4600.343931625066,181.47303413574525,3.9649846659589,3.1646284705419947,1433.775575433848
55,3472.0199194821234,76.4927635118292,4.112702425389823,2.8438889216402616,1474.2383590550487
56,4703.122093087844,73.92717438531626,4.237414932679957,2.923442979200097,1417.973606905265
57,1536.271507797294,137.7569582161587,4.091454880223751,2.9972704027923607,1359.3878840458738
58,1944.734877192752,105.76455516907276,3.8807917868259865,3.009299953371728,1435.1896701281637
59,1371.8636978600446,174.37780845867525,3.8802334455416254,3.198805302487381,1430.3758175885555
60,2436.2552569004047,184.0036997436817,4.230569288338226,3.2477120630587524,1424.004870453265
61,2676.973700820032,96.5474206884349,3.9689163161229337,3.040118095698205,1434.4143665797444
62,2231.1263207408047,77.89928943591713,3.88682679443299,2.715415906903864,1448.5707308658257
63,4349.202534777332,164.8840824390179,4.089617834860153,3.1598143017207576,1430.9953219498475
64,2555.662641435639,83.96896568770177,4.099459511316106,2.536915685905571,1385.4397532821054
65,2267.551136812047,171.61829096218855,4.109401928047475,2.673310639655872,1454.4473916624777
